timetable_id,route_id,direction_id,start_date,end_date,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_time,end_time,include_exceptions,timetable_label,service_notes,orientation,timetable_page_id,timetable_sequence,direction_name,show_trip_continuation
147,18,0,20260101,20260630,0,0,0,0,0,1,0,"","",0,nga janari deri në qershor,"",horizontal,18_16B,1,nga Thesari deri ne Biblioteka,0
148,18,0,20260101,20260630,1,1,1,1,1,0,0,"","",0,nga janari deri në qershor,"",horizontal,18_16B,2,nga Thesari deri ne Biblioteka,0
149,18,0,20260101,20260630,0,0,0,0,0,0,1,"","",0,nga janari deri në qershor,"",horizontal,18_16B,3,nga Thesari deri ne Biblioteka,0
150,18,1,20260101,20260630,0,0,0,0,0,1,0,"","",0,nga janari deri në qershor,"",horizontal,18_16B,4,nga Biblioteka deri ne Thesari,0
151,18,1,20260101,20260630,1,1,1,1,1,0,0,"","",0,nga janari deri në qershor,"",horizontal,18_16B,5,nga Biblioteka deri ne Thesari,0
152,18,1,20260101,20260630,0,0,0,0,0,0,1,"","",0,nga janari deri në qershor,"",horizontal,18_16B,6,nga Biblioteka deri ne Thesari,0
153,18,0,20260701,20260731,0,0,0,0,0,1,0,"","",0,korrik,"",horizontal,18_16B,7,nga Thesari deri ne Biblioteka,0
154,18,0,20260701,20260731,1,1,1,1,1,0,0,"","",0,korrik,"",horizontal,18_16B,8,nga Thesari deri ne Biblioteka,0
155,18,0,20260701,20260731,0,0,0,0,0,0,1,"","",0,korrik,"",horizontal,18_16B,9,nga Thesari deri ne Biblioteka,0
156,18,1,20260701,20260731,0,0,0,0,0,1,0,"","",0,korrik,"",horizontal,18_16B,10,nga Biblioteka deri ne Thesari,0
157,18,1,20260701,20260731,1,1,1,1,1,0,0,"","",0,korrik,"",horizontal,18_16B,11,nga Biblioteka deri ne Thesari,0
158,18,1,20260701,20260731,0,0,0,0,0,0,1,"","",0,korrik,"",horizontal,18_16B,12,nga Biblioteka deri ne Thesari,0
159,18,0,20260801,20260831,0,0,0,0,0,1,0,"","",0,gusht,"",horizontal,18_16B,13,nga Thesari deri ne Biblioteka,0
160,18,0,20260801,20260831,1,1,1,1,1,0,0,"","",0,gusht,"",horizontal,18_16B,14,nga Thesari deri ne Biblioteka,0
161,18,0,20260801,20260831,0,0,0,0,0,0,1,"","",0,gusht,"",horizontal,18_16B,15,nga Thesari deri ne Biblioteka,0
162,18,1,20260801,20260831,0,0,0,0,0,1,0,"","",0,gusht,"",horizontal,18_16B,16,nga Biblioteka deri ne Thesari,0
163,18,1,20260801,20260831,1,1,1,1,1,0,0,"","",0,gusht,"",horizontal,18_16B,17,nga Biblioteka deri ne Thesari,0
164,18,1,20260801,20260831,0,0,0,0,0,0,1,"","",0,gusht,"",horizontal,18_16B,18,nga Biblioteka deri ne Thesari,0
165,18,0,20260901,20261231,0,0,0,0,0,1,0,"","",0,nga shtator deri në dhjetor,"",horizontal,18_16B,19,nga Thesari deri ne Biblioteka,0
166,18,0,20260901,20261231,1,1,1,1,1,0,0,"","",0,nga shtator deri në dhjetor,"",horizontal,18_16B,20,nga Thesari deri ne Biblioteka,0
167,18,0,20260901,20261231,0,0,0,0,0,0,1,"","",0,nga shtator deri në dhjetor,"",horizontal,18_16B,21,nga Thesari deri ne Biblioteka,0
168,18,1,20260901,20261231,0,0,0,0,0,1,0,"","",0,nga shtator deri në dhjetor,"",horizontal,18_16B,22,nga Biblioteka deri ne Thesari,0
